Tube_ID,Color,Temperature,Accession,Species,Cond_freeze,Cond_N,Cond_boiling,Date
61,red,4,PLAT,PLAT,34.4,107.1,154.2,2/3/20
66,red,4,SACC,SACC,16.5,80.1,146.3,2/3/20
71,red,-80,SACC,SACC,45.7,82.4,144.3,2/3/20
74,red,4,PLAT,PLAT,35.8,109.2,161.3,2/3/20
80,red,-80,PLAT,PLAT,46.8,64.1,92,2/3/20
81,red,-80,RUBR,RUBR,34,66.2,114.2,2/3/20
82,red,-80,SACC,SACC,39.7,75.1,135.3,2/3/20
86,red,4,PLAT,PLAT,18.7,57.7,88.9,2/3/20
87,red,4,RUBR,RUBR,10.1,38.8,61.4,2/3/20
89,red,4,SACC,SACC,16.9,80.1,138.1,2/3/20
91,red,-80,PLAT,PLAT,37.3,97.2,141.4,2/3/20
92,red,-80,PLAT,PLAT,93.8,116.5,159.8,2/3/20
93,red,-80,RUBR,RUBR,23.7,46,76.9,2/3/20
94,red,-80,RUBR,RUBR,32.9,66,101.3,2/3/20
95,red,-80,SACC,SACC,45.5,79.9,141.5,2/3/20
97,red,4,RUBR,RUBR,14.1,60.7,99.8,2/3/20
98,red,4,RUBR,RUBR,8.9,39.2,71.5,2/3/20
99,red,4,SACC,SACC,10.2,44.8,96.7,2/3/20
129,orange,-10,SACC,SACC,24.3,86.4,149.4,2/3/20
130,orange,-10,SACC,SACC,12.8,52.2,102.3,2/3/20
132,orange,-70,PLAT,PLAT,53.7,79.1,112.7,2/3/20
133,orange,-70,RUBR,RUBR,20,57.9,88.3,2/3/20
134,orange,-70,RUBR,RUBR,36.8,67.8,109,2/3/20
135,orange,-70,PLAT,PLAT,55.2,85.3,127.7,2/3/20
137,orange,-70,PLAT,PLAT,78.6,100.9,137.1,2/3/20
138,orange,-70,SACC,SACC,33.2,59.1,104.8,2/3/20
139,orange,-70,SACC,SACC,36,61.5,109.5,2/3/20
140,orange,-70,SACC,SACC,38.2,67.6,116.1,2/3/20
145,orange,-10,SACC,SACC,24.3,86.4,153.5,2/3/20
146,orange,-70,RUBR,RUBR,27.9,54,81.9,2/3/20
147,orange,-10,PLAT,PLAT,42.2,113.1,165.3,2/3/20
148,orange,-10,PLAT,PLAT,39.1,96.1,142.5,2/3/20
149,orange,-10,PLAT,PLAT,32.4,80.1,115.8,2/3/20
150,orange,-10,RUBR,RUBR,14,55.5,80.9,2/3/20
169,orange,-10,RUBR,RUBR,11.1,34.7,62.1,2/3/20
172,orange,-10,RUBR,RUBR,11.1,40.1,69.9,2/3/20
301,yellow,-20,RUBR,RUBR,20.8,50.1,85.2,2/3/20
303,yellow,-20,SACC,SACC,20.6,55.4,97.6,2/3/20
304,yellow,-50,SACC,SACC,35.2,55.4,100.4,2/3/20
305,yellow,-50,RUBR,RUBR,22.2,39.3,63.3,2/3/20
306,yellow,-50,PLAT,PLAT,79.6,99.5,143,2/3/20
313,yellow,-20,RUBR,RUBR,18.6,49.3,76.9,2/3/20
314,yellow,-20,RUBR,RUBR,15.5,44.7,71.9,2/3/20
316,yellow,-50,SACC,SACC,34.4,60.7,108.8,2/3/20
319,yellow,-50,SACC,SACC,34.2,64.1,107.6,2/3/20
332,yellow,-20,SACC,SACC,35,110.9,170,2/3/20
333,yellow,-20,SACC,SACC,41.5,134.1,214,2/3/20
341,yellow,-20,PLAT,PLAT,45.1,106.4,149.2,2/3/20
344,yellow,-20,PLAT,PLAT,38.5,100.5,145.1,2/3/20
347,yellow,-50,RUBR,RUBR,17.6,41.5,63.1,2/3/20
348,yellow,-50,PLAT,PLAT,29.1,58.1,85.2,2/3/20
349,yellow,-50,PLAT,PLAT,52.8,76.8,113.8,2/3/20
355,yellow,-20,PLAT,PLAT,40.9,96.9,138.2,2/3/20
373,yellow,-50,RUBR,RUBR,49.1,94.2,148.2,2/3/20
396,green,-30,RUBR,RUBR,19.7,45.8,75.3,2/3/20
398,green,-30,RUBR,RUBR,17,44.1,68.6,2/3/20
400,green,-30,RUBR,RUBR,24.4,55.9,93.7,2/3/20
414,green,-30,PLAT,PLAT,52.9,99,138.4,2/3/20
421,green,-30,PLAT,PLAT,35.5,72.1,107.8,2/3/20
423,green,-30,PLAT,PLAT,39.4,73,110.1,2/3/20
463,green,-30,SACC,SACC,27.8,70.8,128.3,2/3/20
477,green,-30,SACC,SACC,22.1,57.7,99,2/3/20
478,green,-30,SACC,SACC,37.6,90.8,147.9,2/3/20
570,blue,-40,RUBR,RUBR,33.3,63.4,107.7,2/3/20
571,blue,-40,RUBR,RUBR,38.7,62.5,95.2,2/3/20
572,blue,-40,RUBR,RUBR,16.2,38.4,63.4,2/3/20
573,blue,-40,PLAT,PLAT,57.3,72.2,106.7,2/3/20
574,blue,-40,PLAT,PLAT,45.3,66.1,100.3,2/3/20
575,blue,-40,PLAT,PLAT,58.1,87.7,131.1,2/3/20
584,blue,-40,SACC,SACC,34.8,68.9,119.7,2/3/20
592,blue,-40,SACC,SACC,34.4,66.7,126.6,2/3/20
593,blue,-40,SACC,SACC,71.6,136.8,217.4,2/3/20
387,green,-80,31-73 B,HYRC,25.7,33,,2/10/20
388,green,-80,750-55 B,PSEP,95.5,144.4,,2/10/20
393,green,-80,Weld2,PLAT,64.9,84.5,,2/10/20
404,green,-80,126-2003 B,DAVI,56.2,75.2,,2/10/20
411,green,-80,172-2001 B,CAMP,67.7,100.8,,2/10/20
412,green,-80,750-55 B,PSEP,46.9,127.2,,2/10/20
413,green,-80,172-2001 B,CAMP,61,83.5,,2/10/20
415,green,-80,435-84 A,CAUD,47.9,55.7,,2/10/20
418,green,-80,207-2005 A,RUBR,33,46,,2/10/20
428,green,-80,Weld3,PLAT,38.5,44.5,,2/10/20
429,green,-80,379-2007 A,CAMP,44.2,56.3,,2/10/20
430,green,-80,31-73 B,HYRC,21.5,42.2,,2/10/20
432,green,-80,197-2001 A,NEGU,61.9,156.4,,2/10/20
434,green,-80,Weld3,PLAT,39,50.1,,2/10/20
435,green,-80,172-2001 B,CAMP,78.9,106.4,,2/10/20
438,green,-80,530-2008 A,SACC,34.1,68.3,,2/10/20
441,green,-80,124-2005 C,SPIC,29.8,58.5,,2/10/20
442,green,-80,379-2007 A,CAMP,41.5,43.7,,2/10/20
445,green,-80,379-2007 A,CAMP,42.5,49.7,,2/10/20
454,green,-80,Weld2,PLAT,38.3,53.5,,2/10/20
455,green,-80,207-2005 A,RUBR,37.1,52.8,,2/10/20
457,green,-80,246-2010 A,SACC,21,31,,2/10/20
458,green,-80,126-2003 B,DAVI,55.4,87.2,,2/10/20
470,green,-80,Weld3,PLAT,48.3,57.5,,2/10/20
487,green,-80,246-2010 A,SACC,19.7,28.2,,2/10/20
488,green,-80,124-2005 C,SPIC,40.7,61.5,,2/10/20
489,green,-80,750-55 B,PSEP,51.9,141,,2/10/20
494,green,-80,124-2005 C,SPIC,30.2,56.3,,2/10/20
500,green,-80,197-2001 A,NEGU,44.5,94.5,,2/10/20
502,green,-80,246-2010 A,SACC,42.6,61.6,,2/10/20
505,green,-80,Weld2,PLAT,30.5,41,,2/10/20
507,green,-80,666-94 A,DAVI,29.8,36.5,,2/10/20
509,green,-80,126-2003 B,DAVI,55.9,82.3,,2/10/20
511,green,-80,197-2001 A,NEGU,75.4,149.5,,2/10/20
732,green,-80,207-2005 A,RUBR,32,55.5,,2/10/20
733,green,-80,78-2000 B,TATA,30.2,47.4,,2/10/20
734,green,-80,435-84 C,CAUD,60.3,82.7,,2/10/20
735,green,-80,530-2008 A,SACC,47.3,77.2,,2/10/20
736,green,-80,78-2000 B,TATA,33.2,46.6,,2/10/20
737,green,-80,435-84 A,CAUD,45.3,57.4,,2/10/20
741,green,-80,115-2000 A,TATA,14.4,21.7,,2/10/20
742,green,-80,78-2000 B,TATA,43.6,62.7,,2/10/20
743,green,-80,435-84 A,CAUD,62.1,73.8,,2/10/20
745,green,-80,435-84 C,CAUD,30.7,43.6,,2/10/20
746,green,-80,435-84 C,CAUD,27.6,34.6,,2/10/20
747,green,-80,699-89 A,CAMP,43,66.6,,2/10/20
750,green,-80,699-89 A,CAMP,44.8,73.3,,2/10/20
757,green,-80,115-2000 A,TATA,31.2,49.6,,2/10/20
758,green,-80,530-2008 A,SACC,28.6,45.8,,2/10/20
760,green,-80,115-2000 A,TATA,21.5,35.3,,2/10/20
761,green,-80,699-89 A,CAMP,40.2,59.6,,2/10/20
762,green,-80,31-73 B,HYRC,31,40.3,,2/10/20
770,green,-80,666-94 A,DAVI,48.1,59.2,,2/10/20
771,green,-80,666-94 A,DAVI,29,51.8,,2/10/20
547,blue,-60,435-84 A,CAUD,61,70.8,,2/10/20
568,blue,-60,435-84 C,CAUD,59.4,83.7,,2/10/20
604,blue,-60,530-2008 A,SACC,31.1,46.7,,2/10/20
605,blue,-60,699-89 A,CAMP,42.8,66.5,,2/10/20
607,blue,-60,530-2008 A,SACC,46.6,72.1,,2/10/20
609,blue,-60,207-2005 A,RUBR,28.6,47.2,,2/10/20
619,blue,-60,207-2005 A,RUBR,44.4,57.5,,2/10/20
634,blue,-60,Weld2,PLAT,64.5,89.5,,2/10/20
635,blue,-60,31-73 B,HYRC,21.8,31.6,,2/10/20
637,blue,-60,435-84 C,CAUD,37.7,47.5,,2/10/20
640,blue,-60,207-2005 A,RUBR,27.9,42.7,,2/10/20
774,blue,-60,78-2000 B,TATA,39.4,59,,2/10/20
775,blue,-60,115-2000 A,TATA,19.6,26.4,,2/10/20
777,blue,-60,78-2000 B,TATA,34.7,41.3,,2/10/20
778,blue,-60,172-2001 B,CAMP,48.3,54.4,,2/10/20
780,blue,-60,115-2000 A,TATA,19.5,60.3,,2/10/20
781,blue,-60,Weld3,PLAT,33.7,60.9,,2/10/20
782,blue,-60,Weld3,PLAT,45.6,29.8,,2/10/20
783,blue,-60,Weld3,PLAT,36.9,42.2,,2/10/20
784,blue,-60,172-2001 B,CAMP,49.9,64.9,,2/10/20
785,blue,-60,126-2003 B,DAVI,64.1,46.2,,2/10/20
786,blue,-60,246-2010 A,SACC,39.8,61.8,,2/10/20
787,blue,-60,246-2010 A,SACC,32.2,87.8,,2/10/20
788,blue,-60,246-2010 A,SACC,33.7,59.6,,2/10/20
789,blue,-60,530-2008 A,SACC,30.8,47.1,,2/10/20
790,blue,-60,197-2001 A,NEGU,50.9,47.4,,2/10/20
791,blue,-60,666-94 A,DAVI,55.3,51.6,,2/10/20
792,blue,-60,124-2005 C,SPIC,25.1,101.4,,2/10/20
793,blue,-60,31-73 B,HYRC,35,71.8,,2/10/20
794,blue,-60,750-55 B,PSEP,70.6,51.5,,2/10/20
