Tube_ID,Color,Temperature,Accession,Species,Cond_freeze,Cond_N,Cond_boiling,Date,
103,red,4,1115-76 A,TATA,5.4,30.2,,3/13/20,0.178807947
658,red,4,1115-76 A,TATA,6.9,28.2,,3/13/20,0.244680851
161,orange,-10,1115-76 A,TATA,7.8,28.6,,3/13/20,0.272727273
654,red,4,1115-76 A,TATA,9.5,34,,3/13/20,0.279411765
167,orange,-10,1115-76 A,TATA,16.6,37,,3/13/20,0.448648649
242,orange,-10,1115-76 A,TATA,19,35.2,,3/13/20,0.539772727
689,orange,-20,1115-76 A,TATA,18.9,35,,3/13/20,0.54
740,green,-40,1115-76 A,TATA,23.2,40.7,,3/13/20,0.57002457
142,orange,-20,1115-76 A,TATA,28.9,48.4,,3/13/20,0.597107438
344,yellow,-30,1115-76 A,TATA,36.4,56.9,,3/13/20,0.639718805
352,yellow,-30,1115-76 A,TATA,25,38.7,,3/13/20,0.645994832
365,yellow,-30,1115-76 A,TATA,26.1,39.9,,3/13/20,0.654135338
736,green,-60,1115-76 A,TATA,36.4,54.5,,3/13/20,0.667889908
742,green,-60,1115-76 A,TATA,22.3,33.1,,3/13/20,0.673716012
739,green,-40,1115-76 A,TATA,33.4,47,,3/13/20,0.710638298
765,green,-60,1115-76 A,TATA,29,40.8,,3/13/20,0.710784314
569,blue,-80,1115-76 A,TATA,35.8,50.1,,3/13/20,0.714570858
4,red,4,115-2000 A,TATA,2.6,24.3,,3/13/20,0.106995885
75,red,4,115-2000 A,TATA,2.9,27.1,,3/13/20,0.10701107
150,orange,-10,115-2000 A,TATA,6.6,27.8,,3/13/20,0.237410072
221,orange,-10,115-2000 A,TATA,10.5,40.7,,3/13/20,0.257985258
183,orange,-10,115-2000 A,TATA,10.2,34.6,,3/13/20,0.294797688
697,orange,-20,115-2000 A,TATA,11.4,36.1,,3/13/20,0.315789474
171,orange,-20,115-2000 A,TATA,10.8,33.5,,3/13/20,0.32238806
320,yellow,-30,115-2000 A,TATA,10.7,31,,3/13/20,0.34516129
688,orange,-20,115-2000 A,TATA,9,24.4,,3/13/20,0.368852459
317,yellow,-30,115-2000 A,TATA,10.8,27.8,,3/13/20,0.388489209
786,blue,-80,115-2000 A,TATA,13.2,27.9,,3/13/20,0.47311828
305,yellow,-30,115-2000 A,TATA,10.9,22.8,,3/13/20,0.478070175
738,green,-40,115-2000 A,TATA,20.3,38.9,,3/13/20,0.5218509
737,green,-60,115-2000 A,TATA,15.5,29.4,,3/13/20,0.527210884
780,blue,-80,115-2000 A,TATA,16.1,30.5,,3/13/20,0.527868852
756,green,-40,115-2000 A,TATA,16.8,30.6,,3/13/20,0.549019608
788,blue,-80,115-2000 A,TATA,20.1,35,,3/13/20,0.574285714
759,green,-60,115-2000 A,TATA,16.8,26.9,,3/13/20,0.624535316
758,green,-40,115-2000 A,TATA,16.6,25.6,,3/13/20,0.6484375
28,red,4,122-2003 B,DAVI,9.3,78.3,,3/13/20,0.118773946
69,red,4,122-2003 B,DAVI,7,58.3,,3/13/20,0.120068611
54,red,4,122-2003 B,DAVI,12.3,83.2,,3/13/20,0.147836538
18,red,-10,122-2003 B,DAVI,15.9,73.8,,3/13/20,0.215447154
65,red,-10,122-2003 B,DAVI,14.8,65,,3/13/20,0.227692308
43,red,-10,122-2003 B,DAVI,17.8,56.2,,3/13/20,0.316725979
195,orange,-20,122-2003 B,DAVI,40,60.8,,3/13/20,0.657894737
208,orange,-20,122-2003 B,DAVI,47.5,71.3,,3/13/20,0.666199158
138,orange,-20,122-2003 B,DAVI,48.3,67.1,,3/13/20,0.719821162
500,green,-40,122-2003 B,DAVI,57.1,75.6,,3/13/20,0.755291005
568,blue,-60,122-2003 B,DAVI,38.9,51.5,,3/13/20,0.755339806
469,green,-40,122-2003 B,DAVI,56.5,73.5,,3/13/20,0.768707483
311,yellow,-30,122-2003 B,DAVI,62.2,80.6,,3/13/20,0.771712159
357,yellow,-30,122-2003 B,DAVI,57.3,73.8,,3/13/20,0.776422764
412,green,-40,122-2003 B,DAVI,70.5,89.9,,3/13/20,0.784204672
322,yellow,-30,122-2003 B,DAVI,50.8,60.1,,3/13/20,0.845257903
593,blue,-60,122-2003 B,DAVI,75.1,68.1,,3/13/20,1.102790015
544,blue,-80,122-2003 B,DAVI,85.8,58.5,,3/13/20,1.466666667
678,red,4,124-2005 C,SPIC,8.3,141.2,,3/13/20,0.05878187
672,red,4,124-2005 C,SPIC,21.7,141.7,,3/13/20,0.153140438
19,red,4,124-2005 C,SPIC,37.4,142.3,,3/13/20,0.262825018
690,orange,-20,124-2005 C,SPIC,13.9,52,,3/13/20,0.267307692
711,orange,-10,124-2005 C,SPIC,50.3,136.4,,3/13/20,0.368768328
731,orange,-10,124-2005 C,SPIC,57.7,148.4,,3/13/20,0.388814016
696,orange,-10,124-2005 C,SPIC,65.1,156.2,,3/13/20,0.416773367
725,orange,-20,124-2005 C,SPIC,82.5,177,,3/13/20,0.466101695
345,yellow,-30,124-2005 C,SPIC,92.5,185.9,,3/13/20,0.497579344
723,orange,-20,124-2005 C,SPIC,81.3,143.7,,3/13/20,0.565762004
388,green,-40,124-2005 C,SPIC,92.9,158,,3/13/20,0.587974684
438,green,-60,124-2005 C,SPIC,87.9,141.8,,3/13/20,0.619887165
775,blue,-80,124-2005 C,SPIC,72,114.8,,3/13/20,0.6271777
391,green,-40,124-2005 C,SPIC,95.4,149,,3/13/20,0.640268456
398,green,-40,124-2005 C,SPIC,107.5,161.8,,3/13/20,0.664400494
782,blue,-80,124-2005 C,SPIC,109.5,162.4,,3/13/20,0.674261084
319,yellow,-30,124-2005 C,SPIC,104.2,153.3,,3/13/20,0.679712981
396,green,-60,124-2005 C,SPIC,104.4,151.4,,3/13/20,0.689564069
323,yellow,-30,124-2005 C,SPIC,100.8,50.2,,3/13/20,2.007968127
82,red,4,126-2003 B,DAVI,5.8,68.1,,3/13/20,0.085168869
95,red,4,126-2003 B,DAVI,5.8,56.5,,3/13/20,0.102654867
11,red,4,126-2003 B,DAVI,9.9,75.4,,3/13/20,0.131299735
68,red,-10,126-2003 B,DAVI,16.7,96.2,,3/13/20,0.173596674
101,red,-10,126-2003 B,DAVI,15.1,80.9,,3/13/20,0.186650185
83,red,-10,126-2003 B,DAVI,11.3,60.1,,3/13/20,0.188019967
199,orange,-20,126-2003 B,DAVI,27.8,64.5,,3/13/20,0.431007752
165,orange,-20,126-2003 B,DAVI,41.8,92.9,,3/13/20,0.449946179
197,orange,-20,126-2003 B,DAVI,43.1,84.7,,3/13/20,0.508854782
326,yellow,-30,126-2003 B,DAVI,37.7,67.5,,3/13/20,0.558518519
261,yellow,-30,126-2003 B,DAVI,59.7,102.1,,3/13/20,0.584720862
501,green,-40,126-2003 B,DAVI,50.3,84.2,,3/13/20,0.597387173
264,yellow,-30,126-2003 B,DAVI,44.5,71.6,,3/13/20,0.62150838
595,blue,-60,126-2003 B,DAVI,41.9,61.7,,3/13/20,0.679092382
490,green,-40,126-2003 B,DAVI,48.8,69.3,,3/13/20,0.704184704
479,green,-40,126-2003 B,DAVI,52.7,71.7,,3/13/20,0.735006974
