Species,Genotype,Region,LTE,Date,Collected,Tstored
TATA,1115-76 A,EA,36.3,1/22/20,1/21/20,4
TATA,1115-76 A,EA,35.3,3/17/20,3/13/20,4
TATA,115-2000 A,EA,40.2,1/22/20,1/21/20,4
TATA,115-2000 A,EA,36.4,3/17/20,3/13/20,4
DAVI,122-2003 B,EA,25.8,1/22/20,1/21/20,4
DAVI,122-2003 B,EA,55.4,1/22/20,1/21/20,4
DAVI,122-2003 B,EA,20.1,3/17/20,3/13/20,4
SPIC,124-2005 C,NoA,39.9,1/22/20,1/21/20,4
SPIC,124-2005 C,NoA,38.5,3/17/20,3/13/20,4
DAVI,126-2003 B,EA,34.9,1/22/20,1/21/20,4
DAVI,126-2003 B,EA,55,1/22/20,1/21/20,4
DAVI,126-2003 B,EA,20.2,3/17/20,3/13/20,4
TEGM,1400-77 E,EA,36.4,3/17/20,3/13/20,4
CAMP,172-2001 B,EU,38.3,1/22/20,1/21/20,4
CAMP,172-2001 B,EU,36.9,3/17/20,3/13/20,4
SACC,187-2006 B,NoA,40.4,1/22/20,1/21/20,4
SACC,187-2006 B,NoA,36.3,3/17/20,3/13/20,4
PSEP,19634 A,EU,37,1/22/20,1/21/20,4
PSEP,19634 A,EU,36.9,1/22/20,1/21/20,4
PSEP,19634 A,EU,38,3/17/20,3/13/20,4
NEGU,197-2001 A,NoA,36.6,1/22/20,1/21/20,4
RUBR,207-2005 A,NoA,38.1,1/22/20,1/21/20,4
RUBR,207-2005 A,NoA,40.4,1/22/20,1/21/20,4
RUBR,207-2005 A,NoA,34.6,3/17/20,3/13/20,4
PSEP,22858 B,EU,33.3,1/22/20,1/21/20,4
PSEP,22858 B,EU,36.7,1/22/20,1/21/20,4
PSEP,22858 B,EU,36.3,3/17/20,3/13/20,4
SACC,246-2010 A,NoA,37.5,1/22/20,1/21/20,4
SACC,246-2010 A,NoA,34.5,3/17/20,3/13/20,4
NEGU,253-2013 A,NoA,37.8,1/22/20,1/21/20,4
NEGU,253-2013 B,NoA,36.1,1/22/20,1/21/20,4
NEGU,253-2013 B,NoA,38.6,1/22/20,1/21/20,4
SPIC,270-2010 A,NoA,40.6,1/22/20,1/21/20,4
SPIC,270-2010 A,NoA,40.7,1/22/20,1/21/20,4
SPIC,270-2010 A,NoA,38.7,3/17/20,3/13/20,4
HYRC,31-73 A,EU,38.5,1/22/20,1/21/20,4
HYRC,31-73 A,EU,38.7,1/22/20,1/21/20,4
HYRC,31-73 A,EU,36.1,3/17/20,3/13/20,4
HYRC,31-73 B,EU,37.5,1/22/20,1/21/20,4
HYRC,31-73 B,EU,35.8,3/17/20,3/13/20,4
HYRC,31-73 C,EU,39.1,1/22/20,1/21/20,4
HYRC,31-73 C,EU,36.4,3/17/20,3/13/20,4
TEGM,316-97 A,EA,37.6,1/22/20,1/21/20,4
TEGM,316-97 B,EA,37.7,1/22/20,1/21/20,4
TEGM,33-95 B,EA,37.8,1/22/20,1/21/20,4
TEGM,33-95 B,EA,36.6,1/22/20,1/21/20,4
TEGM,33-95 B,EA,36.9,3/17/20,3/13/20,4
CAMP,379-2007 A,EU,37.4,1/22/20,1/21/20,4
CAMP,379-2007 A,EU,37.3,3/17/20,3/13/20,4
CAUD,435-84 A,EA,20.2,1/22/20,1/21/20,4
CAUD,435-84 A,EA,55.6,1/22/20,1/21/20,4
CAUD,435-84 A,EA,18,3/17/20,3/13/20,4
CAUD,435-84 B,EA,,1/22/20,1/21/20,4
CAUD,435-84 B,EA,55.1,1/22/20,1/21/20,4
CAUD,435-84 B,EA,20.4,3/17/20,3/13/20,4
CAUD,435-84 C,EA,22.3,1/22/20,1/21/20,4
CAUD,435-84 C,EA,56.6,1/22/20,1/21/20,4
CAUD,435-84 C,EA,21.2,3/17/20,3/13/20,4
RUBR,524-2009 A,NoA,38.4,1/22/20,1/21/20,4
RUBR,524-2009 A,NoA,34.1,3/17/20,3/13/20,4
SACC,530-2008 A,NoA,38.2,1/22/20,1/21/20,4
SACC,530-2008 A,NoA,37.2,1/22/20,1/21/20,4
SACC,530-2008 A,NoA,36.2,3/17/20,3/13/20,4
TEGM,531-94 A,EA,35.5,3/17/20,3/13/20,4
RUBR,567-2008 B,NoA,37.1,1/22/20,1/21/20,4
RUBR,567-2008 B,NoA,34.9,3/17/20,3/13/20,4
SPIC,603-2008 A,NoA,38.5,1/22/20,1/21/20,4
SPIC,603-2008 A,NoA,38,3/17/20,3/13/20,4
DAVI,666-94 A,EA,33.4,1/22/20,1/21/20,4
DAVI,666-94 A,EA,56.7,1/22/20,1/21/20,4
DAVI,666-94 A,EA,18.5,3/17/20,3/13/20,4
CAMP,699-89 A,EU,38.9,1/22/20,1/21/20,4
CAMP,699-89 A,EU,38.3,1/22/20,1/21/20,4
CAMP,699-89 A,EU,37.5,3/17/20,3/13/20,4
PSEP,750-55 B,EU,39.2,1/22/20,1/21/20,4
PSEP,750-55 B,EU,36.5,1/22/20,1/21/20,4
PSEP,750-55 B,EU,38.2,3/17/20,3/13/20,4
TATA,78-2000 B,EA,38,1/22/20,1/21/20,4
TATA,78-2000 B,EA,37.6,1/22/20,1/21/20,4
TATA,78-2000 B,EA,36.1,3/17/20,3/13/20,4
NEGU,Bussey2,NoA,36.5,3/17/20,3/13/20,4
NEGU,Bussey3,NoA,35.2,3/17/20,3/13/20,4
PLAT,Weld1,EU,37.1,1/22/20,1/21/20,4
PLAT,Weld1,EU,37,1/22/20,1/21/20,4
PLAT,Weld1,EU,34.7,3/17/20,3/13/20,4
PLAT,Weld2,EU,37.4,1/22/20,1/21/20,4
PLAT,Weld2,EU,34.9,3/17/20,3/13/20,4
PLAT,Weld3,EU,35.7,1/22/20,1/21/20,4
PLAT,Weld3,EU,34.3,3/17/20,3/13/20,4
