Code,Temperature,Damage,Species,Genotype
1,-80,1,CAMP,379-2007 A
1,-80,1,CAMP,379-2007 A
1,-80,1,CAMP,379-2007 A
1,-40,0.5,CAMP,379-2007 A
1,-40,1,CAMP,379-2007 A
1,-40,0.5,CAMP,379-2007 A
1,-30,0.5,CAMP,379-2007 A
1,-30,0.25,CAMP,379-2007 A
1,-30,0.5,CAMP,379-2007 A
1,-20,0,CAMP,379-2007 A
1,-20,0,CAMP,379-2007 A
1,-20,0,CAMP,379-2007 A
1,-10,0,CAMP,379-2007 A
1,-10,0,CAMP,379-2007 A
1,-10,0,CAMP,379-2007 A
1,4,0,CAMP,379-2007 A
1,4,0,CAMP,379-2007 A
1,4,0,CAMP,379-2007 A
2,-80,1,CAMP,699-89 A
2,-80,1,CAMP,699-89 A
2,-80,1,CAMP,699-89 A
2,-40,0.5,CAMP,699-89 A
2,-40,0.5,CAMP,699-89 A
2,-40,0.5,CAMP,699-89 A
2,-30,0,CAMP,699-89 A
2,-30,0,CAMP,699-89 A
2,-30,0.5,CAMP,699-89 A
2,-20,0,CAMP,699-89 A
2,-20,0,CAMP,699-89 A
2,-20,0.5,CAMP,699-89 A
2,-10,0,CAMP,699-89 A
2,-10,0,CAMP,699-89 A
2,-10,0,CAMP,699-89 A
2,4,0,CAMP,699-89 A
2,4,0,CAMP,699-89 A
2,4,0,CAMP,699-89 A
3,-80,1,CAMP,172-2001 B
3,-80,1,CAMP,172-2001 B
3,-80,1,CAMP,172-2001 B
3,-40,1,CAMP,172-2001 B
3,-40,0.5,CAMP,172-2001 B
3,-40,0.5,CAMP,172-2001 B
3,-30,1,CAMP,172-2001 B
3,-30,0,CAMP,172-2001 B
3,-30,0,CAMP,172-2001 B
3,-20,0,CAMP,172-2001 B
3,-20,0,CAMP,172-2001 B
3,-20,0.5,CAMP,172-2001 B
3,-10,0,CAMP,172-2001 B
3,-10,0,CAMP,172-2001 B
3,-10,0,CAMP,172-2001 B
3,4,0,CAMP,172-2001 B
3,4,0,CAMP,172-2001 B
3,4,0,CAMP,172-2001 B
4,-80,1,CAUD,435-84 A
4,-80,1,CAUD,435-84 A
4,-80,1,CAUD,435-84 A
4,-40,1,CAUD,435-84 A
4,-40,1,CAUD,435-84 A
4,-40,1,CAUD,435-84 A
4,-30,1,CAUD,435-84 A
4,-30,1,CAUD,435-84 A
4,-30,1,CAUD,435-84 A
4,-20,0.5,CAUD,435-84 A
4,-20,0.25,CAUD,435-84 A
4,-20,0.25,CAUD,435-84 A
4,-10,0,CAUD,435-84 A
4,-10,0,CAUD,435-84 A
4,-10,0,CAUD,435-84 A
4,4,0,CAUD,435-84 A
4,4,0,CAUD,435-84 A
4,4,0,CAUD,435-84 A
5,-80,1,CAUD,435-84 B
5,-80,1,CAUD,435-84 B
5,-80,1,CAUD,435-84 B
5,-40,1,CAUD,435-84 B
5,-40,1,CAUD,435-84 B
5,-40,1,CAUD,435-84 B
5,-30,1,CAUD,435-84 B
5,-30,1,CAUD,435-84 B
5,-30,1,CAUD,435-84 B
5,-20,0.5,CAUD,435-84 B
5,-20,0.5,CAUD,435-84 B
5,-20,0.25,CAUD,435-84 B
5,-10,0,CAUD,435-84 B
5,-10,0,CAUD,435-84 B
5,-10,0,CAUD,435-84 B
5,4,0,CAUD,435-84 B
5,4,0,CAUD,435-84 B
5,4,0,CAUD,435-84 B
6,-80,1,CAUD,435-84 C
6,-80,1,CAUD,435-84 C
6,-80,1,CAUD,435-84 C
6,-40,1,CAUD,435-84 C
6,-40,1,CAUD,435-84 C
6,-40,1,CAUD,435-84 C
6,-30,1,CAUD,435-84 C
6,-30,1,CAUD,435-84 C
6,-30,1,CAUD,435-84 C
6,-20,0.5,CAUD,435-84 C
6,-20,0.5,CAUD,435-84 C
6,-20,0.5,CAUD,435-84 C
6,-10,0.25,CAUD,435-84 C
6,-10,0,CAUD,435-84 C
6,-10,0,CAUD,435-84 C
6,4,0,CAUD,435-84 C
6,4,0,CAUD,435-84 C
6,4,0,CAUD,435-84 C
7,-80,1,DAVI,666-94 A
7,-80,1,DAVI,666-94 A
7,-80,1,DAVI,666-94 A
7,-40,1,DAVI,666-94 A
7,-40,1,DAVI,666-94 A
7,-40,1,DAVI,666-94 A
7,-30,1,DAVI,666-94 A
7,-30,1,DAVI,666-94 A
7,-30,1,DAVI,666-94 A
7,-20,0.5,DAVI,666-94 A
7,-20,1,DAVI,666-94 A
7,-20,1,DAVI,666-94 A
7,-10,0,DAVI,666-94 A
7,-10,0.25,DAVI,666-94 A
7,-10,0.5,DAVI,666-94 A
7,4,0,DAVI,666-94 A
7,4,0,DAVI,666-94 A
7,4,0,DAVI,666-94 A
8,-80,1,DAVI,122-2003 B
8,-80,1,DAVI,122-2003 B
8,-80,1,DAVI,122-2003 B
8,-40,1,DAVI,122-2003 B
8,-40,1,DAVI,122-2003 B
8,-40,1,DAVI,122-2003 B
8,-30,1,DAVI,122-2003 B
8,-30,1,DAVI,122-2003 B
8,-30,1,DAVI,122-2003 B
8,-20,0.5,DAVI,122-2003 B
8,-20,0.5,DAVI,122-2003 B
8,-20,0.5,DAVI,122-2003 B
8,-10,0,DAVI,122-2003 B
8,-10,0,DAVI,122-2003 B
8,-10,0,DAVI,122-2003 B
8,4,0,DAVI,122-2003 B
8,4,0,DAVI,122-2003 B
8,4,0,DAVI,122-2003 B
9,-80,1,DAVI,126-2003 B
9,-80,1,DAVI,126-2003 B
9,-80,1,DAVI,126-2003 B
9,-40,0.5,DAVI,126-2003 B
9,-40,0.5,DAVI,126-2003 B
