"","Method","Accession","Species","b","k","twenty","fifty","eighty","tmax","R2"
"1","L_Boiling_Gomp","1115-76 A","TATA",5.56573596738278,0.0857454362764576,-4.47009058255818,-14.2944958511108,-27.5130077089722,-10.02006520503,0.873864342101688
"2","L_Boiling_Gomp","115-2000 A","TATA",4.99888448955174,0.0668564134109599,-6.95169890672861,-19.5518052081336,-36.5049591144131,-14.0697145322736,0.867788640540907
"3","L_Boiling_Gomp","122-2003 B","DAVI",16.0088018425223,0.113279030135004,-10.279602394853,-17.7160883437953,-27.7217095503598,-14.4806005386397,0.900888929772316
"4","L_Boiling_Gomp","124-2005 C","SPIC",4.69011269521729,0.0782951397946948,-3.66076640871954,-14.4200283260966,-28.8963683537142,-9.73885754662381,0.824182664532437
"5","L_Boiling_Gomp","126-2003 B","DAVI",11.0988298668526,0.0882762311034588,-11.8740046544425,-21.4167536524315,-34.2563034611392,-17.264866830801,0.969428646515887
"6","L_Boiling_Gomp","1400-77 E","TEGM",13.461519944116,0.107066255755263,-9.83771852831931,-17.7057242782763,-28.2919454754449,-14.2824895905941,0.957931422276043
"7","L_Boiling_Gomp","172-2001 B","CAMP",5.82905541335717,0.0484809058647633,-16.5459142569597,-33.92178421819,-57.3006185440074,-26.3618404827316,0.630439918261675
"8","L_Boiling_Gomp","187-2006 B","SACC",3.80695866831299,0.0454224777942192,-8.95417570909001,-27.5000137350373,-52.4530132458235,-19.4310369116657,0.906672225486916
"9","L_Boiling_Gomp","19634 A","PSEP",10.9955958798878,0.0792413277909958,-14.2500962100571,-24.880886220677,-39.1843702456714,-20.2556113698016,0.926340150949965
"10","L_Boiling_Gomp","207-2005 A","RUBR",16.6169888948652,0.118788377982246,-9.65293780205542,-16.744523108782,-26.2860884153413,-13.6590956721312,0.727389858563628
"11","L_Boiling_Gomp","22858 B","PSEP",24.1760095449574,0.113262417879561,-13.9221081073479,-21.3596847694014,-31.3667735054295,-18.1237224136322,0.939818853437367
"12","L_Boiling_Gomp","246-2010 A","SACC",22.3494487201532,0.0966242189330621,-17.2283355944736,-25.9466251207502,-37.6768836283305,-22.1534465095412,0.866869786407842
"13","L_Boiling_Gomp","270-2010 A","SPIC",6.61026652896064,0.0648571274800402,-11.7823242363013,-24.7708414377149,-42.2465932974725,-19.1197598246037,0.844147631193237
"14","L_Boiling_Gomp","31-73 A","HYRC",11.9606890545746,0.0941823807008021,-11.2963438582675,-20.2406698525838,-32.2750552412747,-16.3491466414006,0.856499639227852
"15","L_Boiling_Gomp","31-73 B","HYRC",5.20782491407543,0.0614445602293603,-9.11116762788415,-22.8210536253471,-41.2673906476481,-16.8561167910115,0.819680731205446
"16","L_Boiling_Gomp","31-73 C","HYRC",8.09670649612242,0.0686036415422505,-13.5493676709993,-25.8285688470764,-42.3499522707219,-20.4860985008639,0.916429719400548
"17","L_Boiling_Gomp","33-95 B","TEGM",4.14675176347386,0.0640595447528657,-4.77438418419256,-17.9246168178875,-35.6179530810545,-12.2031755869885,0.777119246330677
"18","L_Boiling_Gomp","379-2007 A","CAMP",3.33450095449498,0.0357736389242274,-10.3624248445705,-33.910432294779,-65.5937359860411,-23.6650971372911,0.769851984131346
"19","L_Boiling_Gomp","435-84 A","CAUD",47.0685271127928,0.191328995413716,-7.64353364671936,-12.0464100329526,-17.9703791821503,-10.1307938463461,0.960115504035951
"20","L_Boiling_Gomp","435-84 B","CAUD",100,0.205226802422241,-10.120594103324,-14.2253109627505,-19.7481133102037,-12.4394188850306,0.913914811804221
"21","L_Boiling_Gomp","435-84 C","CAUD",36.101869932741,0.177019586341112,-7.57127407001917,-12.3300577352657,-18.7328919617211,-10.2595923807969,0.736169741906421
"22","L_Boiling_Gomp","524-2009 A","RUBR",100,0.224866253498526,-8.36329429790603,-12.1095118952668,-17.1499617117409,-10.479596712889,0.767738583957051
"23","L_Boiling_Gomp","530-2008 A","SACC",15.6108407972902,0.0868477519137537,-16.1616512853531,-25.8613602282551,-38.9120960412377,-21.6411828200289,0.683390985002537
"24","L_Boiling_Gomp","531-94 A","TEGM",27.5273664725781,0.129739120564706,-11.8846531918546,-18.37766711273,-27.1138683544562,-15.5526678450738,0.858667082398334
"25","L_Boiling_Gomp","567-2008 B","RUBR",7.58339817856332,0.0748259450477572,-10.715761242911,-21.9738604940614,-37.1213747079407,-17.075654125298,0.813925424319126
"26","L_Boiling_Gomp","603-2008 A","SPIC",11.1424915446143,0.0849905860382493,-12.7658257445055,-22.6774872022776,-36.0134002605516,-18.3650928811381,0.912866723468064
"27","L_Boiling_Gomp","666-94 A","DAVI",13.4408021796979,0.100623651377366,-11.0925562223593,-19.4643247318279,-30.7283471625702,-15.8219114863858,0.861238191616059
"28","L_Boiling_Gomp","699-89 A","CAMP",14.025915554117,0.0719353457960602,-20.0967724578661,-31.807259237161,-47.5634504896667,-26.7122267948239,0.870158089845969
"29","L_Boiling_Gomp","750-55 B","PSEP",21.7626115474108,0.114861119852872,-12.6735420894448,-20.0075983565943,-29.8754027766598,-16.8166759535119,0.890807351412468
"30","L_Boiling_Gomp","78-2000 B","TATA",10.430941546834,0.0818008459622332,-12.8468485939712,-23.1450051227888,-37.0009384306319,-18.6644534088019,0.757221199794468
