"","Method","Accession","Species","b","e","twenty","fifty","eighty"
"1","L_boiling","1115-76 A","TATA",-2.89388685331026,23.6909115368751,-4.673588019425,-13.6909115368751,-28.2496284279648
"2","L_boiling","115-2000 A","TATA",-2.83749344541467,28.9022588825651,-7.7317485487658,-18.9022588825651,-37.1098812515565
"3","L_boiling","122-2003 B","DAVI",-4.24102217483884,27.5760603152827,-9.8870865195476,-17.5760603152827,-28.2378334687009
"4","L_boiling","124-2005 C","SPIC",-2.73538870094192,23.5646861709693,-4.1958472397494,-13.5646861709693,-29.1166814462052
"5","L_boiling","126-2003 B","DAVI",-3.9107643590902,31.1160653500184,-11.8290699634972,-21.1160653500184,-34.3541353106507
"6","L_boiling","1400-77 E","TEGM",-4.16077081430818,27.5249263131472,-9.72545442825,-17.5249263131472,-28.408320137819
"7","L_boiling","172-2001 B","CAMP",-2.58907817918082,43.3688611081669,-15.3886529111314,-33.3688611081669,-64.0826274006378
"8","L_boiling","187-2006 B","SACC",-2.4360099720217,35.9976264871758,-10.3762290715255,-25.9976264871758,-53.5951386373577
"9","L_boiling","19634 A","PSEP",-3.84454381444248,34.578340983577,-14.1103214353348,-24.578340983577,-39.5912785063174
"10","L_boiling","207-2005 A","RUBR",-4.50461281556387,26.5249821764456,-9.4984907325329,-16.5249821764456,-26.0835455990884
"11","L_boiling","22858 B","PSEP",-4.7262645956842,31.3593629616731,-13.3873611058149,-21.3593629616731,-32.0487647542863
"12","L_boiling","246-2010 A","SACC",-5.16817047785098,36.0820712221124,-17.5929177187335,-26.0820712221124,-37.1829719839193
"13","L_boiling","270-2010 A","SPIC",-3.20501610918499,34.0740045435516,-12.1092438584204,-24.0740045435516,-42.5136812940704
"14","L_boiling","31-73 A","HYRC",-4.63280018027056,30.8083113010427,-12.8408328019433,-20.8083113010427,-31.5550542071828
"15","L_boiling","31-73 B","HYRC",-2.77263569829676,32.0143033970774,-9.417821054559,-22.0143033970774,-42.7822158377282
"16","L_boiling","31-73 C","HYRC",-3.46953160846028,35.3630586247022,-13.7149425779136,-25.3630586247022,-42.7324032594873
"17","L_boiling","33-95 B","TEGM",-2.41359011255862,26.5869497623175,-4.9700304572606,-16.5869497623175,-37.2187347702526
"18","L_boiling","379-2007 A","CAMP",-1.91313907450941,42.0301554950434,-10.3640214169283,-32.0301554950434,-76.7477957702912
"19","L_boiling","435-84 A","CAUD",-5.93548217970707,22.0471162610027,-7.4549151934055,-12.0471162610027,-17.8474762002746
"20","L_boiling","435-84 B","CAUD",-7.77147462849308,24.3699320046156,-10.3884317534977,-14.3699320046156,-19.1289488612927
"21","L_boiling","435-84 C","CAUD",-5.19798128230549,22.3319244593678,-7.1041074940461,-12.3319244593678,-19.1576073310176
"22","L_boiling","524-2009 A","RUBR",-2.91893185954041,22.256782098238,-3.8421004022477,-12.256782098238,-25.7867906584473
"23","L_boiling","530-2008 A","SACC",-3.8264562800195,35.9768999581548,-15.0427684343861,-25.9768999581548,-41.6850736367403
"24","L_boiling","531-94 A","TEGM",-5.54616389727589,28.7477106730918,-12.3897351333501,-18.7477106730918,-26.9111498649579
"25","L_boiling","567-2008 B","RUBR",-3.4083913916342,31.5423081803731,-11.0016279878667,-21.5423081803731,-37.3733372441614
"26","L_boiling","603-2008 A","SPIC",-4.10834333260059,32.6035972256511,-13.2658987369539,-22.6035972256511,-35.6889529207869
"27","L_boiling","666-94 A","DAVI",-3.86540662456898,29.2566755469754,-10.4394426272154,-19.2566755469754,-31.8775149436449
"28","L_boiling","699-89 A","CAMP",-4.24926146636987,41.6885825973105,-20.0837058708193,-31.6885825973105,-47.7700741536152
"29","L_boiling","750-55 B","PSEP",-4.7954411522955,29.9706838101088,-12.4464800248074,-19.9706838101088,-30.0170488670295
"30","L_boiling","78-2000 B","TATA",-3.87545080311765,33.0258336721566,-13.0941265918036,-23.0258336721566,-37.2287049005811
"31","L_boiling","Bussey1","NEGU",-2.6186053254764,31.1172725833882,-8.3267411452488,-21.1172725833882,-42.8345244446207
"32","L_boiling","Bussey2","NEGU",-2.78640590292766,35.1770805625603,-11.3889437511235,-25.1770805625603,-47.8535813317036
"33","L_boiling","Bussey3","NEGU",-2.08727775589451,35.9225981780051,-8.4894954323167,-25.9225981780051,-59.7927677140904
"34","L_boiling","Weld1","PLAT",-3.46599519027212,35.5641240708137,-13.8400586536257,-25.5641240708137,-43.0538510538385
"35","L_boiling","Weld2","PLAT",-3.36758981619044,32.764684173563,-11.708274662276,-22.764684173563,-39.4523192512793
"36","L_boiling","Weld3","PLAT",-2.73861793443137,37.6845806049957,-12.7155299877523,-27.6845806049957,-52.5179168674523
