"","Method","Accession","Species","b","d","e","twenty","fifty","eighty"
"1","Rt_Boiling_zeroed","1115-76 A","TATA",-3.41215952140664,30.4925397579417,22.8739573950999,-5.2368736741149,-12.8739573950999,-24.3389292385954
"2","Rt_Boiling_zeroed","115-2000 A","TATA",-2.70794370883367,29.4383479104912,29.478225471146,-7.6673038287256,-19.478225471146,-39.1849681961576
"3","Rt_Boiling_zeroed","122-2003 B","DAVI",-6.80402704652659,43.8857147994496,25.5258757810782,-10.8206757084122,-15.5258757810782,-21.2943894576763
"4","Rt_Boiling_zeroed","124-2005 C","SPIC",-2.31285622379766,34.0727208385671,25.4483743661222,-3.9749375986078,-15.4483743661222,-36.3415133920042
"5","Rt_Boiling_zeroed","126-2003 B","DAVI",-4.06974044787669,40.2253133097559,30.7595539817611,-11.8798485677278,-20.7595539817611,-33.2429940375557
"6","Rt_Boiling_zeroed","1400-77 E","TEGM",-4.68073855827853,33.3955799586785,26.8551024098375,-9.9710920811545,-16.8551024098375,-26.1120224428491
"7","Rt_Boiling_zeroed","172-2001 B","CAMP",-6.3930448411747,31.0677780781062,33.4772830281525,-16.9510684533733,-23.4772830281525,-31.5838236946318
"8","Rt_Boiling_zeroed","187-2006 B","SACC",-1.84344182203915,39.8671331476961,45,-11.2137238899248,-35,-85.4570734731657
"9","Rt_Boiling_zeroed","19634 A","PSEP",-4.6882070850625,32.5252821709218,32.9567222267158,-14.5201949230747,-22.9567222267158,-34.295958630687
"10","Rt_Boiling_zeroed","207-2005 A","RUBR",-5.24459034749453,18.2095046248864,25.6682856688899,-9.7060909602775,-15.6682856688899,-23.4343777519264
"11","Rt_Boiling_zeroed","22858 B","PSEP",-7.26061340125433,33.8940521979042,29.1635171583509,-14.094534035772,-19.1635171583509,-25.2989077017515
"12","Rt_Boiling_zeroed","246-2010 A","SACC",-5.08725963285646,30.6650340916428,36.2054299282275,-17.5693855708289,-26.2054299282275,-37.5466946087759
"13","Rt_Boiling_zeroed","270-2010 A","SPIC",-3.23182329268677,29.1356204070609,33.9710451289087,-12.1216636620467,-23.9710451289087,-42.1675008164183
"14","Rt_Boiling_zeroed","31-73 A","HYRC",-2.31898224799348,58.4191422695125,45,-14.7508434934237,-35,-71.8153935051969
"15","Rt_Boiling_zeroed","31-73 B","HYRC",-3.31736666988373,38.9791539387985,29.9754018215162,-9.7368432540203,-19.9754018215162,-35.5252495445711
"16","Rt_Boiling_zeroed","31-73 C","HYRC",-2.70568504860526,43.6708448955677,45,-16.9585082601116,-35,-65.1154322213087
"17","Rt_Boiling_zeroed","33-95 B","TEGM",-2.70035662029692,30.0012039618506,25.5147062781333,-5.2698524137693,-15.5147062781333,-32.6330405048568
"18","Rt_Boiling_zeroed","379-2007 A","CAMP",-3.39109071138908,33.0621412827696,31.7860107064559,-11.1200202746311,-21.7860107064559,-37.83851831073
"19","Rt_Boiling_zeroed","435-84 A","CAUD",-6.97268520500279,45.2522090092723,21.6146812880437,-7.7175364963346,-11.6146812880437,-16.3690410503944
"20","Rt_Boiling_zeroed","435-84 B","CAUD",-9.52374882872912,32.7277274736668,23.4070546811545,-10.2362514746833,-13.4070546811545,-17.0746886858962
"21","Rt_Boiling_zeroed","435-84 C","CAUD",-27.824719229525,36.884832046874,20.6359254214979,-9.6329859221929,-10.6359254214979,-11.6900994932338
