,Method,Accession,Species,b,c,d,e,twenty,fifty,eighty,absfif
1,Rt_Nitrogen,1115-76 A,TATA,-3.331301726,0.228509506,0.693690498,22.71010656,-4.979282939,-12.71010656,-24.43081636,-15.1327433
2,Rt_Nitrogen,115-2000 A,TATA,-2.778455614,0.113578108,0.58519812,29.79254061,-8.089177479,-19.79254061,-39.06776316,-41.33780399
3,Rt_Nitrogen,122-2003 B,DAVI,-6.755216846,0.125878566,0.834745263,25.48131631,-10.75375417,-15.48131631,-21.28578453,-15.90428531
4,Rt_Nitrogen,124-2005 C,SPIC,-2.025304779,0.129445835,0.71062345,24.53691869,-2.375170442,-14.53691869,-38.65067366,-22.43095995
5,Rt_Nitrogen,126-2003 B,DAVI,-3.958295736,0.093974566,0.764083986,30.46058381,-11.46038021,-20.46058381,-33.23535545,-23.95729383
6,Rt_Nitrogen,1400-77 E,TEGM,-4.623886181,0.134319981,0.673109203,26.73352936,-9.80841872,-16.73352936,-26.07968926,-21.4265096
7,Rt_Nitrogen,172-2001 B,CAMP,-6.080007203,0.288307534,0.752756512,32.89749614,-16.19026767,-22.89749614,-31.32242044,-21.9520618
8,Rt_Nitrogen,187-2006 B,SACC,-1.688716121,0.067255492,0.768120141,45,-9.801274909,-35,-92.26614242,-49.74823096
9,Rt_Nitrogen,19634 A,PSEP,-4.542476506,0.113433745,0.64830895,32.78321849,-14.16081356,-22.78321849,-34.4827494,-30.48033
10,Rt_Nitrogen,207-2005 A,RUBR,-5.151268733,0.199271074,0.482225995,25.55057265,-9.52201214,-15.55057265,-23.44080302,-40
11,Rt_Nitrogen,22858 B,PSEP,-6.659818367,0.13236807,0.692556249,28.87041404,-13.44504921,-18.87041404,-25.55125004,-21.81446862
12,Rt_Nitrogen,246-2010 A,SACC,-5.380902644,0.190573748,0.655298441,36.5898409,-18.2795329,-26.5898409,-37.34224083,-31.59105113
13,Rt_Nitrogen,270-2010 A,SPIC,-3.148134301,0.113167517,0.592513858,33.74398175,-11.72465563,-23.74398175,-42.41308879,-43.15650771
14,Rt_Nitrogen,31-73 A,HYRC,-7.938678307,0.247804527,0.737927222,34.36664567,-18.86013283,-24.36664567,-30.92380105,-24.61969292
15,Rt_Nitrogen,31-73 B,HYRC,-3.213673233,0.247080267,0.836348928,29.78472579,-9.348636027,-19.78472579,-35.84973788,-17.25639587
16,Rt_Nitrogen,31-73 C,HYRC,-3.177073361,0.218373081,0.714181581,35.96014127,-13.24448587,-25.96014127,-45.63176436,-29.19613684
17,Rt_Nitrogen,33-95 B,TEGM,-2.539325706,0.230889423,0.695909678,25.09144683,-4.535543337,-15.09144683,-33.31318681,-18.4329267
18,Rt_Nitrogen,379-2007 A,CAMP,-3.418705713,0.259282479,0.745881561,31.87199324,-11.24719698,-21.87199324,-37.80978659,-21.67472163
19,Rt_Nitrogen,435-84 A,CAUD,-6.974129264,0.135580422,0.859944114,21.61793942,-7.720936685,-11.61793942,-16.37193016,-11.65627712
20,Rt_Nitrogen,435-84 B,CAUD,-9.531164672,0.234257338,0.725663835,23.41530884,-10.24568032,-13.41530884,-17.0811689,-13.82040085
21,Rt_Nitrogen,435-84 C,CAUD,-30.87050856,0.137581599,0.727439275,20.62244346,-9.716842431,-10.62244346,-11.56963904,-10.93605026
22,Rt_Nitrogen,524-2009 A,RUBR,-33.49576079,0.15513827,0.553128967,20.71738036,-9.877447953,-10.71738036,-11.59280457,-11.90715982
23,Rt_Nitrogen,530-2008 A,SACC,-9.276803205,0.136372285,0.387949136,33.37820776,-18.74507874,-23.37820776,-28.75810408,-40
24,Rt_Nitrogen,531-94 A,TEGM,-12.4571051,0.174946092,0.611196546,30.5579294,-17.33967029,-20.5579294,-24.15502233,-23.30591609
25,Rt_Nitrogen,567-2008 B,RUBR,-3.686925244,0.162663056,0.601855664,31.05608821,-11.32312207,-21.05608821,-35.2316791,-32.97412432
26,Rt_Nitrogen,603-2008 A,SPIC,-4.343862542,0.105460482,0.591863678,32.93310687,-13.9349517,-22.93310687,-35.31404707,-36.06205102
27,Rt_Nitrogen,666-94 A,DAVI,-8.304900044,0.247968587,0.844812186,26.149544,-12.12939649,-16.149544,-20.90001356,-15.18099236
28,Rt_Nitrogen,699-89 A,CAMP,-4.378996051,0.178692979,0.71042466,40.43778096,-19.46450725,-30.43778096,-45.49775922,-34.54159778
29,Rt_Nitrogen,750-55 B,PSEP,-5.714355707,0.141032687,0.525916399,28.20857601,-12.13206592,-18.20857601,-25.95343349,-34.68253049
30,Rt_Nitrogen,78-2000 B,TATA,-4.412563017,0.188367285,0.585178065,32.82692328,-13.97661877,-22.82692328,-34.94407248,-34.04451931
31,Rt_Nitrogen,Bussey1,NEGU,-3.35217528,0.115943355,0.766142001,28.16918783,-8.628228141,-18.16918783,-32.5968126,-21.42608622
32,Rt_Nitrogen,Bussey2,NEGU,-2.184160405,0.116164179,0.80509561,38.80544712,-10.5704808,-28.80544712,-63.20503301,-33.10661213
33,Rt_Nitrogen,Bussey3,NEGU,-1.418052109,0.152358127,0.838885536,45,-6.929502696,-35,-109.613673,-35.81686582
34,Rt_Nitrogen,Weld1,PLAT,-5.908595513,0.274875064,0.638307015,33.62747353,-16.59491591,-23.62747353,-32.51966729,-26.51766372
35,Rt_Nitrogen,Weld2,PLAT,-3.068266098,0.280577011,0.728378842,34.89530285,-12.20983856,-24.89530285,-44.82624999,-24.44328576
36,Rt_Nitrogen,Weld3,PLAT,-3.942014036,0.262477905,0.687198779,35.94700535,-15.28911803,-25.94700535,-41.09657015,-28.18503715
