"","Method","Accession","Species","b","d","e","twenty","fifty","eighty","absfif"
"1","Rt_Nitrogen_zeroed","1115-76 A","TATA",-3.41215432112724,59.8307606524053,22.8739278687012,-5.2368445713864,-12.8739278687012,-24.3389061751739,4.35813380482161
"2","Rt_Nitrogen_zeroed","115-2000 A","TATA",-2.70794382080954,53.7247236865027,29.4782289114878,-7.6673062646389,-19.4782289114878,-39.1849728952346,4.74091725964756
"3","Rt_Nitrogen_zeroed","122-2003 B","DAVI",-6.80397513076658,81.000838857629,25.5258796309083,-10.8206464802576,-15.5258796309083,-21.294442828634,-2.095851292001
"4","Rt_Nitrogen_zeroed","124-2005 C","SPIC",-2.31287289847916,63.8933403375828,25.448106351594,-3.9748508079609,-15.448106351594,-36.3408250850967,6.8640808947097
"5","Rt_Nitrogen_zeroed","126-2003 B","DAVI",-4.06973429389515,73.3874950558293,30.7595669045726,-11.8798464899834,-20.7595669045726,-33.2430344787851,0.9566766813386
"6","Rt_Nitrogen_zeroed","1400-77 E","TEGM",-4.680737614339,61.9773523453278,26.8551042225645,-9.9710922363947,-16.8551042225645,-26.1120270372851,0.393383221171611
"7","Rt_Nitrogen_zeroed","172-2001 B","CAMP",-6.39295306299117,64.1431189096741,33.4772797888272,-16.9509819457385,-23.4772797888272,-31.5839491234801,-5.6861204458936
"8","Rt_Nitrogen_zeroed","187-2006 B","SACC",-1.84344155038116,72.0925830487442,45,-11.2137215390147,-35,-85.4570840517431,6.95409581175777
"9","Rt_Nitrogen_zeroed","19634 A","PSEP",-4.68820709367279,59.7741083438036,32.9567222146286,-14.520194927398,-22.9567222146286,-34.295958590385,-1.900899887894
"10","Rt_Nitrogen_zeroed","207-2005 A","RUBR",-5.24454037831836,35.0320780406041,25.6682909564037,-9.7060453902556,-15.6682909564037,-23.4344688431701,-1.4471771259767
"11","Rt_Nitrogen_zeroed","22858 B","PSEP",-7.2606251659002,63.3396131440552,29.1635421434289,-14.0945621324162,-19.1635421434289,-25.2989270225127,-4.9868519392827
"12","Rt_Nitrogen_zeroed","246-2010 A","SACC",-5.08727895313851,58.2190307583193,36.2054330898701,-17.5694165099732,-26.2054330898701,-37.5466495546204,-4.2357516581085
"13","Rt_Nitrogen_zeroed","270-2010 A","SPIC",-3.23182472706823,53.5038670600989,33.9710128789366,-12.1216468726832,-23.9710128789366,-42.1674413601604,1.97540652521666
"14","Rt_Nitrogen_zeroed","31-73 A","HYRC",-3.74621477308143,74.7153048618553,32.7603821442118,-12.627543413771,-22.7603821442118,-37.4308067212293,1.37635380803009
